State,Abbrev,PartisanLean538,Lean
Alabama,AL,R+27,-27
Alaska,AK,R+16,-16
Arizona,AZ,R+8,-8
Arkansas,AR,R+26,-26
California,CA,D+22,22
Colorado,CO,R+0,0
Connecticut,CT,D+10,10
Delaware,DE,D+12,12
Florida,FL,R+6,-6
Georgia,GA,R+13,-13
Hawaii,HI,D+36,36
Idaho,ID,R+33,-33
Illinois,IL,D+13,13
Indiana,IN,R+17,-17
Iowa,IA,R+9,-9
Kansas,KS,R+21,-21
Kentucky,KY,R+24,-24
Louisiana,LA,R+19,-19
Maine,ME,D+3,3
Maryland,MD,D+23,23
Massachusetts,MA,D+23,23
Michigan,MI,D+6,6
Minnesota,MN,D+1,1
Mississippi,MS,R+15,-15
Missouri,MO,R+21,-21
Montana,MT,R+18,-18
Nebraska,NE,R+25,-25
Nevada,NV,R+1,-1
New Hampshire,NH,R+1,-1
New Jersey,NJ,D+11,11
New Mexico,NM,D+8,8
New York,NY,D+22,22
North Carolina,NC,R+4,-4
North Dakota,ND,R+34,-34
Ohio,OH,R+6,-6
Oklahoma,OK,R+33,-33
Oregon,OR,D+7,7
Pennsylvania,PA,R+1,-1
Rhode Island,RI,D+24,24
South Carolina,SC,R+16,-16
South Dakota,SD,R+28,-28
Tennessee,TN,R+28,-28
Texas,TX,R+17,-17
Utah,UT,R+30,-30
Vermont,VT,D+24,24
Virginia,VA,D+7,7
Washington,WA,D+15,15
West Virginia,WV,R+33,-33
Wisconsin,WI,R+3,-3
Wyoming,WY,R+45,-45
